name,gender,ethnicity,city,state,province,country,born,died,creative_role 1,creative_role 2,creative_role 3,creative_role 4,creative_role 5,creative_role 6,creative_role 7,creative_role 8,creative_role 9,creative_role 10,comic_titles 1,comic_titles 2,comic_titles 3,comic_titles 4,comic_titles 5,comic_titles 6,comic_titles 7,comic_titles 8,comic_titles 9,comic_titles 10,comic_titles 11,comic_titles 12,comic_titles 13,comic_titles 14,genres 1,genres 2,genres 3,genres 4,genres 5,genres 6,genres 7,genres 8,website1,website2,twitter,image
Alexandra Beguez,Female,Cuban American,,,,,1984,,Cartoonist, Illustrator, Writer,,,,,,,,Alien Raver in Slumberland (Locust Moon Press)," He Who Is Upon His Mountain (Ink Brick Press, Carboncito)", The Harvest (Locust Moon Press), Alien Raver in Forbidden Fruit (Locust Moon Press), La Secuela (Carboncito), Melancholia (Three-Armed Squid), Spring (Three-Armed Squid), Narwhal (self-published), Pulpo (self-published), Alien Raver in Quilt (self-published),,,,,Indie, Fantasy, Surreal, Mythological, Humor,,,,http://www.alexandrabeguez.com/,http://oculartangent.tumblr.com/,http://www.twitter.com/abeguez,
Alexandra Salas,Female,Latin American,,,,,1974,,Illustrator, Artist,,,,,,,,,,,,,,,,,,,,,,,Slice of Life,,,,,,,,http://patreon.com/alexandrasketch,http://alexandrasketch.tumblr.com,http://twitter.com/alexandrasketch,
Alfonso Williamson (Al Williamson),Male,Latin American,,,,,,,,,,,,,,,,,Secret Agent,,,,,,,,,,,,,,Strips,,,,,,,,,,,
Alfonso Azpiri,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,http://en.wikipedia.org/wiki/Alfonso_Azpiri,,,
Alfredo Alcala,Male,Filipino American,,,,,1925,2000,Artist,,,,,,,,,,Voltar,,,,,,,,,,,,,,Mainstream,,,,,,,,http://en.wikipedia.org/wiki/Alfredo_Alcala,,,
Alice Meichi Li,Female,Asian American,,,,,1984,,Artist, Illustrator, Cover Artist,,,,,,,,"Mega Man (Archie Comics, 2013)"," Elephantmen (Image Comics, 2011)"," Once Upon a Time Machine (Dark Horse Comics, 2012)"," Secret Identities, (The New Press, 2012)"," Reading With Pictures (2010, 2014)",,,,,,,,,,Pop-Surrealism,,,,,,,,http://alicemeichi.com/,http://en.wikipedia.org/wiki/Alice_Meichi_Li,https://twitter.com/AliceMeichi,http://www.alicemeichi.com/images/newestwork-b.gif
Alitha Martinez,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,http://ariotstorm.deviantart.com/,,,
Alti Firmansyah,Female,Indonesian,Jakarta,,,Indonesia,,,Artist,,,,,,,,,,Star Lord and Kitty Pryde, TomorrowLand,,,,,,,,,,,,,Mainstream,,,,,,,,http://altifirmansyah.deviantart.com/,,,https://40.media.tumblr.com/cdb682bd8678888f4aae8f6f5aeba5ab/tumblr_ns6de6FYMf1rdt8rao1_500.jpg
Aluisio Santos,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,http://zsalad.tumblr.com/,,,
Alverne Ball,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,http://www.alverneball.com/,,,
Amanda Nunes,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.heartless-ink.com/comics.html,,https://twitter.com/hrtlesgirl,
Amilcar Pinna,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,http://www.amilcarpinna.com/,,,
Amin Amat,,Latin American,,,,,,,,,,,,,,,,,Second Soul,,,,,,,,,,,,,,,,,,,,,,,,,
Amit Tayal,Male,South Asian,,,,India,,,Artist,,,,,,,,,,Super Sikh Comics,,,,,,,,,,,,,,Indie,,,,,,,,http://www.supersikhcomics.com,http://www.amittayal.com,https://twitter.com/supersikhcomic,http://cdn.shopify.com/s/files/1/0765/9461/products/COVER-FOR-WEB-hi-res_large.jpg?v=1430370012
Amy Chu,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,http://amychu.com/,,,
Amy Hwang,Female,Asian American,,,,,1978,,Cartoonist,,,,,,,,,,,,,,,,,,,,,,,,Gag Cartoons,,,,,,,,www.amyhwang.com,,,
An Nguyen (Saicoink),Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://www.saicoink.com/worldend/,,,
Ana Moreno,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manga,,,,,,,,http://d.hatena.ne.jp/anastasm/,,,
Anarchious,Male,African,,,,,1988,,Writer, Artist, Storyboarder,,,,,,,,Whistlin' Dixie (2013) , Judgmentday (2013),,,,,,,,,,,,,Webcomic,,,,,,,,http://anarchious823.wix.com/anarchiousevolution,,https://twitter.com/anarchious,
