name,gender,ethnicity,city,state,province,country,born,died,creative_role 1,creative_role 2,creative_role 3,creative_role 4,creative_role 5,creative_role 6,creative_role 7,comic_titles 1,comic_titles 2,comic_titles 3,comic_titles 4,comic_titles 5,comic_titles 6,comic_titles 7,comic_titles 8,comic_titles 9,comic_titles 10,comic_titles 11,comic_titles 12,genres 1,genres 2,genres 3,genres 4,genres 5,genres 6,genres 7,genres 8,website1,website2,twitter,image,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
Jeff Krell,Male,American,,,,,1959,,Writer, Cartoonist, Translator,,,,,Jayson Goes to Hollywood, Jayson Gets a Job!,,,,,,,,,,,Humor,,,,,,,,http://ignite-ent.com,https://www.facebook.com/jeff.krell,https://twitter.com/jeffkrelljayson,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer Doyle (theyoungdoyler),Genderqueer,Indonesian American,,,,,1990,,Writer, Artist, Colorist,,,,,Knights-Errant: Pavane, Travesty,,,,,,,,,,,Webcomic,,,,,,,,http://theyoungdoyley.tumblr.com,http://knightserrantcomic.tumblr.com,https://twitter.com/theyoungdoyler,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer Camper,Female,Mongrel Arab-White,,,,,,,Cartoonist, Comics Editor,,,,,,"Juicy Mother 2 (Manic D Press, 2007)"," Juicy Mother 1 (Soft Skull Press, 2005)"," subGURLZ (Cleis Press, 1999)"," Rude Girls and Dangerous Women (Laugh Lines Press, 1994)",,,,,,,,,Fiction, Humor, Indie,,,,,,http://www.jennifercamper.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenny Gonzalez-Blitz,Genderqueer,Cuban + Irish,,,,,1972,,Cartoonist,,,,,,,Platform Edge, Living In La-La Land, World War 3 Illustrated," Occupy Comics, House of 12",,,,,,,,,Indie, Webcomic, Political,,,,,,http://madratpandemonium.blogspot.com/,http://www.webcomicsnation.com/jennydevildoll/lalaland/series.php,https://twitter.com/jennydevildoll,,,,,,,,,,,,,,,,,,,,,,,,,
Jenny Lin,Female,Taiwanese Canadian,Montreal,,Quebec,Canada,1976,,Writer, Creator, Cartoonist,,,,,"Skinny Leg, The Queers",,,,,,,,,,,,Memoir, Horror,,,,,,,http://jenny-lin.ca/,,,http://4.bp.blogspot.com/-jvC32DbDwJA/VfGYkEFmEnI/AAAAAAAABPU/Yu-hRRAHchc/s1600/Front_Cover.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Jenny McKeon,Female,,,,,,1990,,creator,,,,,,,Eerie PD, Blush, ABC,,,,,,,,,,webcomic, Indie, manga,,,,,,http://jchannel.tumblr.com,http://www.eeriepd.com,http://twitter.com/jchannel,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Sorese,Male,,,,,,1988,,Artist,,,,,,,"Curveball, published by Nobrow",,,,,,,,,,,,Science Fiction, Indie,,,,,,,http://jeremysorese.com,,http://twitter.com/jeremy_sorese,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Mills,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jess Fink,Female,American,,,,,1981,,Cartoonist,,,,,,,Chester 5000 xyv, We Can Fix It, Kid with Experience, Smut Peddler, We Are Become Pals,,,,,,,,Webcomics, Autobio comics, Erotic comics,,,,,,http://jessfink.com/,http://jessfink.tumblr.com/,https://twitter.com/JessFink,,,,,,,,,,,,,,,,,,,,,,,,,
Jiro Ghianni,Genderqueer transmale,Dutch/Italian,,,,,1975,,Cartoonist,,,,,,,"The Bosoms, What if...?, The Qualiens",,,,,,,,,,,,Strips, Topical, Queer, Webcomic, Zine,,,,http://www.thebosoms.com,https://www.facebook.com/TheBosoms,http://twitter.com/thebosoms,,,,,,,,,,,,,,,,,,,,,,,,,
Joamette Gil,Twospirit,Afro-Cuban,,,,,1989,,Cartoonist,,,,,,,Margarite & Leopold, Yesterday, clearQuartz,,,,,,,,,,Urban Fantasy, Slice of Life, Autobiographical,,,,,,http://joamettegil.com,http://joamettegil.tumblr.com/,http://twitter.com/joamettegil,,,,,,,,,,,,,,,,,,,,,,,,,
Joan Hilty,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joana Estrela,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://joanaestrela.tumblr.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Craig,Male,Caucasian,,,,,,,Writer, Cartoonist,,,,,,"Welcome To Nursing HELLo, a Graphic Memoir",,,,,,,,,,,,Graphic Memoir,,,,,,,,Http://www.facebook.com/WelcomeToNursingHELLo,Http://www.WelcomeToNursingHELLo.com,http://www.twitter.com/NursingHello,,,,,,,,,,,,,,,,,,,,,,,,,
Joey Alison Sayers,Female,American,,,,,,,Cartoonist,,,,,,,Just So You Know, Stupid Dreams, Teen Power, No Straight Lines (contributor), Mad Magazine (contributor),,,,,,,,Indie,,,,,,,,http://www.jsayers.com/,,https://twitter.com/joeyalison,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Velour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Macy,Male,,,,,,1964,,Cartoonist,,,,,,,Tropo, Nefarismo, Teleny and Camille, Fearful Hunter,,,,,,,,,Indie,,,,,,,,http://www.jonmacy.com/,http://en.wikipedia.org/wiki/Jon_Macy,https://twitter.com/JonMacy,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Kittaka,Genderqueer,Japanese American,,,,,1991,,Writer, Artist,,,,,,"How You Like Your Eggs, Carleton Graphic",,,,,,,,,,,,Indie,,,,,,,,http://www.carletongraphic.com/?cat=267,http://jkittaka.tumblr.com/,https://twitter.com/jonkittaka,,,,,,,,,,,,,,,,,,,,,,,,,
Jose-Luis Olivares,,,,,,,,,,,,,,,,QU33R (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Trujillo,Male,Native-American / Mixed,,,,,1985,,writer, editor,,,,,,"Love Machines, Death Saves",,,,,,,,,,,,romance, indie, history, humor,,,,,http://www.joshtrujillo.com,http://losthiskeysman.tumblr.com/,http://www.twitter.com/losthiskeysman,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Cross,Male,White American,,,,,1991,,Cartoonist,,,,,,,It's Not Morning Yet,,,,,,,,,,,,Indie,,,,,,,,lurvsick.com,lurvstruck.itch.io,http://twitter.com/lurvsick,http://lurvsick.com/images/aboutjosh.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Julia Wertz,Female,Caucasian,,,,,1982,,Cartoonist,,,,,,,Fart Party, Drinking at the Movies, The Infinite Wait, Museum of Mistakes,,,,,,,,,Indie,,,,,,,,http://www.juliawertz.com/,http://en.wikipedia.org/wiki/Julia_Wertz,https://twitter.com/Julia_Wertz,,,,,,,,,,,,,,,,,,,,,,,,,
JULIACKS,Female,American / German Jewish heritage,Amsterdam / New Jersey / Nomad,,,,1986,,Creator, Cartoonist,,,,,,Swell, Invisible Forces, Rock That Never Sleeps, soon- Architecture of an Atom,,,,,,,,,Indie, Art,,,,,,,http://www.juliacks.com ,http://www.facebook.com/thisisjuliacks,http://www.twitter.com/@J_U_L_I_A_C_K_S,http://www.juliacks.com/images/projects/invisibleforces/credits/juliacksinpori.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Julie Marie Fiveash,Female,"Half-Navajo, Mexican American, and White",,,,,1991,,Writer and Artist,,,,,,,Follow, Angry Beautiful Women, Interning at the Fine Art Museums of San Francisco,,,,,,,,,,Indie, Self-Published, Webcomic,,,,,,http://jooliefiveash.tumblr.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Hall,Male,,,,,,,,Cartoonist, Editor,,,,,,Hard to Swallow, No Straight Lines (editor), QU33R (contributor),,,,,,,,,,Indie,,,,,,,,http://www.justinhallcomics.com/,,https://twitter.com/justincomics,,,,,,,,,,,,,,,,,,,,,,,,,
K. Guillory,Female,Black/French Creole,,,,,1982,,Writer, Artist,,,,,,"Blood Money, The Other World, Odyssey, Transhuman Resources",,,,,,,,,,,,Indie, Horror, Webcomic,,,,,,http://ashurcollective.com,http://facebook.com/ashur.art,http://twitter.com/kgpaints,,,,,,,,,,,,,,,,,,,,,,,,,
K.F. Golden,Genderqueer,Asian American,,,,,1992,,Writer, Artist, Creator, Cartoonist,,,,,,,,,,,,,,,,Indie,,,,,,,,http://kfgolden.weebly.com,http://callmemidas.tumblr.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Ka Yan Cheung,Female,Asian American,,,,,1984,,Creator, Cartoonist,,,,,,,,,,,,,,,,,,Indie, memoir, oral history, political,,,,,http://kayancheung.tumblr.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kat Verhoeven,Female,Canadian,Toronto,,Ontario,Canada,1986,,Cartoonist, Creator,,,,,,Towerkind, Meat & Bone,,,,,,,,,,,Art comics, slice of life, supernatural, webcomic,,,,,http://meatandbonecomic.tumblr.com,http://verwho.tumblr.com,http://twitter.com/verwho,http://41.media.tumblr.com/07bda5ce0856b2dfdfc7069e019eab90/tumblr_npaql8Y68F1tg0mqlo1_1280.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Kate Leth,Female,,,,,,,,Writer, Artist,,,,,,Kate or Die, Little Ghost, Anything That Loves (contributor), Writer: Bravest Warriors, Adventure Time: Seeing Red, Adventure Time: Bitter Sweets, Fraggle Rock, Edward Scissorhands, Power Up,,,,,,,,,,,,http://kateordiecomics.com/,,https://twitter.com/kateleth,,,,,,,,,,,,,,,,,,,,,,,,,
Kathleen Jacques,Female,Canadian,,,,,,,Cartoonist, Creator,,,,,,Band Vs. Band Comix,,,,,,,,,,,,Webcomic,,,,,,,,http://www.bvbcomix.com,http://www.kathmachine.tumblr.com,http://twitter.com/kathmachine,,,,,,,,,,,,,,,,,,,,,,,,,
Kayla E.,Female,Latinx,Dallas,,,United States,1989,,Cartoonist,,,,,,,Bringing Up Kayla, Canteen Kayla, Not All Men!, Kayla Sees America,,,,,,,,,Indie,,,,,,,,http://www.kaylaework.com,http://kayla-e.tumblr.com,,http://www.kaylaework.com/uploads/1/7/7/8/1778030/canteen_kayla_1.jpeg,,,,,,,,,,,,,,,,,,,,,,,,
Keezy Young,Female,American,Seattle,WA,,United States,,,Creator,,,,,,,Taproot,,,,,,,,,,,,Webcomic, Indie,,,,,,,http://www.keezyyoung.com/,http://key-of-zee.tumblr.com/,https://twitter.com/KyoungKeezy,http://static1.squarespace.com/static/5411dda2e4b02e1c8b276b99/555e42ede4b0777b1da53ca0/557c8121e4b02f16630b5c2a/1434222954772/Rooster+Girl.png?format=500w,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Boze,,,,,,,,,,,,,,,,Anything That Loves (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Seccia,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kez / Mister Loki,Male,,Los Angeles, CA,,United States,1991,,Comic Artist,,,,,,,If There Be Magic, Those Spaces Between, Until the Last Dog Dies,,,,,,,,,,Indie,,,,,,,,http://www.misterloki.com,http://www.misterloki.tumblr.com,https://twitter.com/TheMisterLoki,http://www.lastdogdies.com/files/artistsbio.png,,,,,,,,,,,,,,,,,,,,,,,,
Knave Murdok,Female,American,,,,,,,Writer, Artist, Penciler, Inker, Creator, Cartoonist,,TransCat, Dave the Punk Rock Cat,,,,,,,,,,,Indie,,,,,,,,http://parasomniacomics.blogspot.com,https://www.facebook.com/Parasomniacomics,https://twitter.com/KnaveMurdok,,,,,,,,,,,,,,,,,,,,,,,,,
Kord I. Fierro,Genderqueer,Chicano,,,,,1985,,Writer, Creator,,,,,,,,,,,,,,,,,,,,,,,,,,http://xnor.mx,http://pixyfoo.com,https://twitter.com/0x786e6f72,,,,,,,,,,,,,,,,,,,,,,,,,
Kori Michele Handwerker,Bigender/nonbinary,Caucasian American,,ME,,United States,1986,,Cartoonist,,,,,,,Prince of Cats, Dovetail,,,,,,,,,,,Romance, webcomic, fantasy,,,,,,http://korimichele.com,http://koricomics.tumblr.com/,http://twitter.com/korimichele,http://41.media.tumblr.com/bd266bea1db1fb20b56a81881a748f4a/tumblr_nr1favy70h1u59bd3o3_250.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Kou Chen,Genderqueer,Taiwanese American,,,,,1991,,Cartoonist,,,,,,,"Boy, I Love You (co-editor, contributor)", Crow's Blood,,,,,,,,,,,Slice of Life, Manga, Webcomics, Fantasy,,,,,http://www.koukounut.com,http://vainvanes.tumblr.com,http://www.twitter.com/koukounut,,,,,,,,,,,,,,,,,,,,,,,,,
Kris Anka,Male,"Half-Malaysian, quarter Irish & Syrian",,,,,1989,,Artist,,,,,,,Uncanny X-men, All-New X-Factor,,,,,,,,,,,Mainstream,,,,,,,,http://kristaferanka.tumblr.com,,https://twitter.com/kristaferanka,,,,,,,,,,,,,,,,,,,,,,,,,
Kris Dresen,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,http://www.krisdresencomics.com/,,https://twitter.com/krisdresen,,,,,,,,,,,,,,,,,,,,,,,,,
Kriss Stress,Genderqueer,,,,,,,,,,,,,,,Retinal Scan,,,,,,,,,,,,diary comics, anthology comics,,,,,,,http://www.Facebook.com/krissstressart ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristen Van Dam,Female,"Puerto Rican, Native American",,,,United States,1982,,Writer, Inker, Letterer, Cartoonist, Creator,,,Minor Acts of Heroism, S.T.O.P.,,,,,,,,,,,webcomic,,,,,,,,http://www.minoractsofheroism.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kubb E. Bear,,,,,,,,,,,,,,,,Gay Genius (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. Nichols,Male,American,,,,,1983,,Creator,,,,,,,Flocks, Jumbly Junkery, QU33R (contributor),,,,,,,,,,,,,,,,,,http://www.grindstonecomics.com,http://wormulus.tumblr.com,https://twitter.com/wormulus,,,,,,,,,,,,,,,,,,,,,,,,,
L.B. Lee,,,,,,,,,,,,,,,,Gender Evolution,,,,,,,,,,,,,,,,,,,,http://lb-lee.deviantart.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura Kenin_,Female,Latvian Canadian,,,,,1985,,Writer, Artist, Creator,,,,,She Wants to Tell Me, Birch Control (self-published),,,,,,,,,,,Indie,,,,,,,,http://www.laurakenins.com,http://birchcontrol.tumblr.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel Lynn Leake,Female,USA/White,,,,,1987,,Cartoonist, Writer, Artist, Inker, Colorist,,,Deep Forest," Poly Morphous, All Rumors Are True",,,,,,,,,,,Indie,,,,,,,,http://counterintuitivecomics.tumblr.com/,http://laurellynnleake.storenvy.com/,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence Schimel,Male,US,Madrid,,,Spain,1971,,Writer, Translator,,,,,,Vacation in Ibiza, Juicy Mother 2 (contributor),,,,,,,,,,,,,,,,,,,,,https://twitter.com/lawrenceschimel,,,,,,,,,,,,,,,,,,,,,,,,,
Leah Eburne,Female,Half Nigerian,,,,,1984,,Co-Writer,,,,,,,Modus Operandi (2014),,,,,,,,,,,,Webcomic,,,,,,,,http://www.mo-comic.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leanne Franson,Female,"Canadian, Caucasian",,,,,1963,,Cartoonist, Creator,,,,,,Liliane Bi-Dyke, Anything That Loves (contributor), No Straight Lines (contributor),,,,,,,,,,Autobio, webcomic, graphic novel, strips,,,,,http://liliane.comicgen.com,http://leannefranson.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Relvas,,,,,,,,,,,,,,,,Gay Genius (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leia Weathington ,Female,,,,,,,,Writer; Artist,,,,,,,Bold Riley,,,,,,,,,,,,,,,,,,,,http://ahappygoluckyscamp.com/,,https://twitter.com/MasonLeia,,,,,,,,,,,,,,,,,,,,,,,,,
Lena H. Chandhok,,,,,,,,,,,,,,,,Anything That Loves (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leo Lopez (Leo Puppytime),Male,Mexican-American,,,,,1979,,Writer, Artist, Cartoonist (Mr Panda Press and Chopsticks & Chocolate),,,,,Sexy Post Office, Whiskers Galore, The Stop & Go Show, La Giggles,,,,,,,,,Indie,,,,,,,,http://puppytimeusa.tumblr.com,,https://twitter.com/puppytimeusa,,,,,,,,,,,,,,,,,,,,,,,,,
Leroi Newbold,,,,,,,,,,,,,,,,Gay Genius (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leslie Ewing,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
