name,gender,ethnicity,city,state,province,country,born,died,creative_role 1,creative_role 2,creative_role 3,creative_role 4,creative_role 5,creative_role 6,creative_role 7,comic_titles 1,comic_titles 2,comic_titles 3,comic_titles 4,comic_titles 5,comic_titles 6,comic_titles 7,comic_titles 8,comic_titles 9,comic_titles 10,comic_titles 11,comic_titles 12,genres 1,genres 2,genres 3,genres 4,genres 5,genres 6,genres 7,genres 8,website1,website2,twitter,image,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
Sophie Yanow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.situology.com/,,https://twitter.com/sophieyanow,,,,,,,,,,,,,,,,,,,,,,,,,
Steve MacIsaac,Male,Canadian,,,,,1969,,Writer, Artist, Publisher,,,,,Shirtlifter, Sticky,,,,,,,,,,,Indie; literary fiction; autobiography,,,,,,,,www.stevemacisaac.com,www.facebook.com/ShirtlifterComics,,,,,,,,,,,,,,,,,,,,,,,,,,
Stevie Wilson,Female,Caucasian American,,,,,1985,,Creator,,,,,,,You're doing it wrong, know your coffee,,,,,,,,,,,Indie,,,,,,,,Http://Swinku.tumblr.com,http://tapastic.com/series/ydiw,http://twitter.com/sw_inku,,,,,,,,,,,,,,,,,,,,,,,,,
Susanna Martin,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzy X,Female,Cuban-Belizean,,,,,1989,,Cartoonist, Writer,,,,,,"Riot Grrrl Problems, The League of Extraordinary Feminists, Malcriada, The Best Song Ever",,,,,,,,,,,,Indie, Political,,,,,,,Http://Seesuzysketch.blogspot.com,Http://suzyx.wordpress.com,Http://www.twitter.com/msmalcriada,,,,,,,,,,,,,,,,,,,,,,,,,
Takopako,Male,Black,,,,,1991,,Artist, Creator,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.takopako.tumblr.com,http://www.kenn-k.deviantart.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Talita Hayata (Lita),Female,Brazilian,,,,,1986,,Creator,,,,,,,BETE VIVE,,,,,,,,,,,,Webcomic,,,,,,,,http://betevive.tumblr.com/,https://www.facebook.com/betevive,,,,,,,,,,,,,,,,,,,,,,,,,,
Taneka Stotts,Female,African American,,,,,1982,,Writer, Editor, Creator,,,,,Full Circle, Gran Grimoire, Beyond Anthology," Cautionary Fables and Fairy: Africa Edition (Indie, 2014)",,,,,,,,,Various,,,,,,,,http://www.tanekastotts.com,,http://www.twitter.com/neekaneeks,,,,,,,,,,,,,,,,,,,,,,,,,
Tara Madison Avery,Female,American,,,,,1970,,Cartoonist, Writer, Inker, Illustrator,,,,Dirtheads, Gooch, Cheating at Solitaire, Anything That Loves (contributor),,,,,,,,,Webcomic, Humor,,,,,,,http://www.cheatingatsolitaire.net/,,https://twitter.com/taramavery,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Naifeh,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teddy,Male,Hispanic/Latino/Mexican,,,,,,,Artist,,,,,,,,,,,,,,,,,,,Fan Art, Webcomic,,,,,,,http://finn-theheroguy.tumblr.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry Blas,Male,Caucasian/Latino,,,,,1980,,Writer, Artist, Creator,,,,,Briar Hollow,,,,,,,,,,,,Webcomic,,,,,,,,http://www.terryblas.com,www.briarhollowcomic.com,https://twitter.com/TerryBlas,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Fish,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Paul,,,,,,,,,,,,,,,,Nitsy and Bitsy, Glitch,,,,,,,,,,,,,,,,,,,http://www.timpaulillustrations.com/,,https://twitter.com/TimPaul_illo,,,,,,,,,,,,,,,,,,,,,,,,,
Tini Howard,Female,,Wilmington, NC,,United States,1985,,Writer,,,,,,,Poseidon IX, Magdalena: Seventh Sacrament,,,,,,,,,,,,,,,,,,,http://tinihoward.tumblr.com,,http://www.twitter.com/tinihoward,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Bouden,,,,,,,1971,,,,,,,,,Max en Sven, No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,http://www.tombouden.be/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Breed,Male,"American (white—English, Portuguese, & Italian)",,,,,1971,,Cartoonist,,,,,,,Muddlers Beat, Finn and Charlie Are Hitched, Pratfall, Everyone Is Someone's Fetish, Foodwise, Every/Body, Tablegeddon, How Would I Know If You're Dreaming?, No Straight Lines, SnOMG," I Love You, You Big Weirdo", Can We Skip to the Part of the Conversation Where I Get My Way,Webcomic,,,,,,,,Http://muddlersbeat.com,Http://hitchedcomic.com,Http://Twitter.com/tonybreed,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad Escobar,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://www.trinidadescobar.com/,,https://twitter.com/trinidadesco,,,,,,,,,,,,,,,,,,,,,,,,,
Tristan Crane,Trans/Genderfluid,,,,,,,,Writer/Photographer,,,,,,,How Loathsome, InVisible, No Straight Lines (contributor),,,,,,,,,,Indie, Manga,,,,,,,http://tristancrane.com,,https://twitter.com/tristancrane,,,,,,,,,,,,,,,,,,,,,,,,,
Tristan Jade Tarwater,Female,"Mixed: Half Puerto Rican, Half Black",,,,,1983,,Writer, Creator,,,,,,"Shamsee (Back That Elf Up, 2014)",,,,,,,,,,,,Graphic Novel, webcomic,,,,,,,http://www.shamseecomic.com/,https://www.facebook.com/BackThatElfUp,https://twitter.com/backthatelfup,,,,,,,,,,,,,,,,,,,,,,,,,
Trungles,Male,Asian American,,,,,1990,,Creator, Artist, Writer,,,,,Tamarind (webcomic), Literal Unicorn Boyfriend (webcomic),,,,,,,,,,,Indie,,,,,,,,http://www.trungles.com,http://artoftrungles.tumblr.com,http://www.twitter.com/Trungles,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Cohen,Female,,,,,,,,Cartoonist,,,,,,,Primazonia, QU33R (contributor),,,,,,,,,,,Indie,,,,,,,,http://www.primazonia.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyr Tapir,Male,Australian,,,,,1970,,Writer, Artist,,,,,,Crooked Sabre,,,,,,,,,,,,Fantasy, Erotica,,,,,,,http://crookedsabre.the-comic.org/,https://www.facebook.com/tyr.tapir,,,,,,,,,,,,,,,,,,,,,,,,,,
Ursula Aristizábal,Genderqueer,Latin@-American,,,,,1992,,,,,,,,,The Living Daylights,,,,,,,,,,,,Indie,,,,,,,,http://moxievegas.tumblr.com/,,https://twitter.com/moxievegas,,,,,,,,,,,,,,,,,,,,,,,,,
Vanessa Satone,Female,American,Brooklyn, NY,,United States,1979,,Cartoonist,,,,,,,Wasted Minds, Short Cuts,,,,,,,,,,,Comedy, Manga, Action, Sci-Fi,,,,,http://visforvacant.com/,http://tapastic.com/vsatone/,https://twitter.com/vsatone,,,,,,,,,,,,,,,,,,,,,,,,,
Vas Littlecrow Wojtanowicz,Other,Mixed Ethnicity,,,,,1973,,Writer, Artist, Penciler, Inker, Creator, Cartoonist, Publisher,,,,,,,,,,,,,Horror, Crime, Historical Fiction, Indie, Erotica,,,,http://vaslittlecrow.com/,http://velvetrasput.info/,https://twitter.com/velvetrasputin/,,,,,,,,,,,,,,,,,,,,,,,,,
Verity Hall,Female,British,,,,England,1989,,Comic writer and artist,,,,,,,Mystery Circus, Like A Shark In A Swimming Pool,,,,,,,,,,,indie, webcomic,,,,,,,http://verity-h.tumblr.com,http://mysterycircus.thecomicseries.com,http://twitter.com/Verity_Hall89,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Hodge,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virginia ""Milkyboots"" Paine",Female,White American,,,,,1981,,cartoonist,,,,,,,Milkyboots, The WHYs,,,,,,,,,,,indie, diary, webcomic,,,,,,http://virginiapaine.tumblr.com/,http://thewhyscomic.com/,https://twitter.com/milkybootscomix,,,,,,,,,,,,,,,,,,,,,,,,,
Weiwen Balter,Genderqueer,Asian American,,,,,1996,,Cartoonist,,,,,,,Skyping with Spirits,,,,,,,,,,,,Webcomic, Indie,,,,,,,http://www.skypingwithspirits.tumblr.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
William O. Tyler,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://williamotyler.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasmin Liang,Female,Half Chinese,,,,,1990,,Artist, Penciler, Inker,,,,,"Steed and Mrs. Peel (BOOM! Studios, 2012)"," Star Trek Ongoing (IDW Publishing, 2011)", Our Work Fills the Pews,,,,,,,,,,Mainstream, Indie, Webcomic,,,,,,http://www.yazmeanie.com,http://www.blog.yazmeanie.com,https://twitter.com/yasminliang,,,,,,,,,,,,,,,,,,,,,,,,,
Yeni Sleidi,Female,Cuban,,,,,1990,,Cartoonist,,,,,,,Gooprone: 69 Love Comics,,,,,,,,,,,,Indie,,,,,,,,http://gooprone.tumblr.com/,http://sleidi.com,http://www.twitter.com/sleidi_yeni,,,,,,,,,,,,,,,,,,,,,,,,,
Yolando,GenderAny,Multi-racial,Minneapolis, MN,,United States,1990,,Writer, Cartoonist,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://coffeewithyolando.tumblr.com,,https://twitter.com/yolandogge,http://i58.tinypic.com/280qiht.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Zan Christensen,Male,,,,,,,,Publisher (Northwest Press), Editor, Writer,,,,,Anything that Loves (editor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoe Maxine,Female,White Canadian,,,Nova Scotia,Canada,1989,,Cartoonist, Artist,,,,,,Queen Candidate, SCRAP,,,,,,,,,,,Webcomic, Sci-Fi,,,,,,,http://zoemaxine.com,http://queencandidate.zoemaxine.com,https://twitter.com/zoemaxinetn,,,,,,,,,,,,,,,,,,,,,,,,,
